frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.sack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len,ip.proto,ip.ttl,class,label
0.0,0.0,105,10.5.126.151,10.5.126.84,40629,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:35:39:30:35:32:39:32:37:63:36:66:64:34:61:63:62:39:38:66:32:33:36:30,37,512,0x00001141,59052927c6fd4acb98f2360,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0
5.3e-05,5.3e-05,72,10.5.126.84,10.5.126.151,1883,40629,0x00000018,5.3e-05,4,38,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,20:02:00:00,4,512,0x00001120,0,0.0,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000020,0.0,2,0.0,2,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,0
4.3e-05,9.6e-05,105,10.5.126.153,10.5.126.84,45639,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:38:32:61:30:38:30:30:61:64:65:63:38:34:32:32:63:62:35:62:38:66:66:64,37,512,0x00001143,82a0800adec8422cb5b8ffd,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0
2e-05,0.000116,72,10.5.126.84,10.5.126.153,1883,45639,0x00000018,2e-05,4,38,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,20:02:00:00,4,512,0x00001122,0,0.0,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000020,0.0,2,0.0,2,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,0
1.6e-05,0.000132,105,10.5.126.155,10.5.126.84,45093,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:35:64:64:65:61:35:65:36:37:64:36:35:34:61:65:61:38:35:32:35:37:63:62,37,512,0x00001145,5ddea5e67d654aea85257cb,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0
1.8e-05,0.00015,72,10.5.126.84,10.5.126.155,1883,45093,0x00000018,1.8e-05,4,38,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,20:02:00:00,4,512,0x00001124,0,0.0,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000020,0.0,2,0.0,2,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,0
1.6e-05,0.000166,105,10.5.126.157,10.5.126.84,37755,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:34:35:39:30:62:61:35:34:30:36:66:38:34:31:39:65:62:61:64:39:39:34:66,37,512,0x00001147,4590ba5406f8419ebad994f,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0
1.5e-05,0.000181,72,10.5.126.84,10.5.126.157,1883,37755,0x00000018,1.5e-05,4,38,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,20:02:00:00,4,512,0x00001126,0,0.0,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000020,0.0,2,0.0,2,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,0
1.5e-05,0.000196,105,10.5.126.132,10.5.126.84,45681,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:37:61:61:31:33:34:34:61:33:31:36:38:34:30:34:34:39:38:35:63:62:36:61,37,512,0x0000112e,7aa1344a31684044985cb6a,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0
1.5e-05,0.000211,72,10.5.126.84,10.5.126.132,1883,45681,0x00000018,1.5e-05,4,38,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,20:02:00:00,4,512,0x0000110d,0,0.0,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000020,0.0,2,0.0,2,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,0
