value,indicator_type,is_public,observed_in,packet_numbers,flow_keys
a2.tuyaus.com,domain,True,['dns_query'],"[4372, 5418, 6143, 6876, 7474, 8167, 8765, 9568, 10192, 11522]","['192.168.137.233:32801>4.2.2.2:53/udp', '192.168.137.233:35480>192.168.137.1:53/udp', '192.168.137.233:36648>192.168.137.1:53/udp', '192.168.137.233:41549>4.2.2.2:53/udp', '192.168.137.233:42405>192.168.137.1:53/udp', '192.168.137.233:45561>8.8.8.8:53/udp', '192.168.137.233:47833>4.2.2.2:53/udp', '192.168.137.233:50909>4.2.2.2:53/udp', '192.168.137.233:51421>192.168.137.1:53/udp', '192.168.137.233:55420>8.8.8.8:53/udp', '192.168.137.233:57281>8.8.8.8:53/udp', '192.168.137.233:57400>8.8.8.8:53/udp']"
android.googleapis.com,domain,True,['dns_query'],"[13533, 13551]","['192.168.137.1:53>192.168.137.210:56788/udp', '192.168.137.210:56788>192.168.137.1:53/udp']"
api.samsungcloud.com,domain,True,['dns_query'],"[13420, 13472]","['192.168.137.1:53>192.168.137.210:10833/udp', '192.168.137.210:10833>192.168.137.1:53/udp']"
connectivity-check.ubuntu.com,domain,True,['dns_query'],"[13125, 13126, 13127, 13128, 13273, 13274, 13275, 13276, 14535, 14536]","['192.168.137.250:34167>8.8.8.8:53/udp', '192.168.137.250:35148>8.8.8.8:53/udp', '192.168.137.250:38086>8.8.8.8:53/udp', '192.168.137.250:38217>8.8.8.8:53/udp', '192.168.137.250:39475>8.8.8.8:53/udp', '192.168.137.250:47523>8.8.8.8:53/udp', '192.168.137.250:52599>8.8.8.8:53/udp', '192.168.137.250:56746>8.8.8.8:53/udp', '192.168.137.250:57460>8.8.8.8:53/udp', '192.168.137.250:58824>8.8.8.8:53/udp', '8.8.8.8:53>192.168.137.250:34167/udp', '8.8.8.8:53>192.168.137.250:35148/udp', '8.8.8.8:53>192.168.137.250:38086/udp', '8.8.8.8:53>192.168.137.250:38217/udp', '8.8.8.8:53>192.168.137.250:39475/udp', '8.8.8.8:53>192.168.137.250:47523/udp', '8.8.8.8:53>192.168.137.250:52599/udp', '8.8.8.8:53>192.168.137.250:56746/udp', '8.8.8.8:53>192.168.137.250:57460/udp', '8.8.8.8:53>192.168.137.250:58824/udp']"
events.mapbox.com,domain,True,['dns_query'],"[14751, 14753]","['192.168.137.1:53>192.168.137.210:17969/udp', '192.168.137.210:17969>192.168.137.1:53/udp']"
footprints-pa.googleapis.com,domain,True,['dns_query'],"[13395, 13400]","['192.168.137.1:53>192.168.137.210:5116/udp', '192.168.137.210:5116>192.168.137.1:53/udp']"
home-monitor.ecobee.com,domain,True,['dns_query'],"[6231, 6244, 6341, 6342, 13132, 13133, 13144, 13145, 15637, 15638]","['192.168.137.174:39800>192.168.137.1:53/udp', '192.168.137.174:41827>192.168.137.1:53/udp', '192.168.137.174:42063>192.168.137.1:53/udp', '192.168.137.174:46980>192.168.137.1:53/udp', '192.168.137.174:50497>192.168.137.1:53/udp', '192.168.137.174:52136>192.168.137.1:53/udp', '192.168.137.174:55842>192.168.137.1:53/udp', '192.168.137.174:56221>192.168.137.1:53/udp', '192.168.137.1:53>192.168.137.174:39800/udp', '192.168.137.1:53>192.168.137.174:41827/udp', '192.168.137.1:53>192.168.137.174:42063/udp', '192.168.137.1:53>192.168.137.174:46980/udp', '192.168.137.1:53>192.168.137.174:50497/udp', '192.168.137.1:53>192.168.137.174:52136/udp', '192.168.137.1:53>192.168.137.174:55842/udp', '192.168.137.1:53>192.168.137.174:56221/udp']"
instantmessaging-pa.googleapis.com,domain,True,['dns_query'],"[16996, 17006]","['192.168.137.1:53>192.168.137.210:26136/udp', '192.168.137.210:26136>192.168.137.1:53/udp']"
m2.tuyaus.com,domain,True,['dns_query'],"[419, 1233, 1838, 2540, 3123, 3879, 4882, 5862, 7476, 8169]","['192.168.137.233:34767>4.2.2.2:53/udp', '192.168.137.233:34992>8.8.8.8:53/udp', '192.168.137.233:35347>192.168.137.1:53/udp', '192.168.137.233:38739>4.2.2.2:53/udp', '192.168.137.233:39638>8.8.8.8:53/udp', '192.168.137.233:40564>4.2.2.2:53/udp', '192.168.137.233:42959>8.8.8.8:53/udp', '192.168.137.233:44017>4.2.2.2:53/udp', '192.168.137.233:45284>4.2.2.2:53/udp', '192.168.137.233:45959>192.168.137.1:53/udp', '192.168.137.233:49775>4.2.2.2:53/udp', '192.168.137.233:51386>8.8.8.8:53/udp', '192.168.137.233:55769>8.8.8.8:53/udp', '192.168.137.233:58401>192.168.137.1:53/udp', '192.168.137.233:58458>192.168.137.1:53/udp', '192.168.137.233:58501>8.8.8.8:53/udp', '192.168.137.233:58836>192.168.137.1:53/udp']"
meari-us.oss-us-west-1.aliyuncs.com,domain,True,['dns_query'],"[17462, 17463]","['192.168.137.1:53>192.168.137.105:38469/udp', '192.168.137.1:53>192.168.137.105:43467/udp']"
